time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4           ,usage_c5           ,usage_c6           ,usage_c7           ,temp4 ,temp5 ,temp6 ,temp7
1676068065.0922337 , 8.748 ,0.16699999999999998  ,0.0                  ,0.053                ,0.0                  ,1.0                ,0.9470000000000001 ,0.895              ,0.895              , 60.0 , 65.0 , 66.0 , 56.0 ,
1676068065.293594  , 8.748 ,0.2                  ,0.0                  ,0.15                 ,0.0                  ,0.727              ,0.727              ,0.7                ,0.7                , 62.0 , 66.0 , 68.0 , 58.0 ,
1676068065.4947782 , 8.748 ,0.15                 ,0.0                  ,0.19                 ,0.05                 ,1.0                ,0.95               ,0.9520000000000001 ,0.95               , 64.0 , 68.0 , 70.0 , 59.0 ,
1676068065.6959648 , 8.748 ,0.055999999999999994 ,0.136                ,0.158                ,0.05                 ,0.737              ,0.737              ,0.6                ,0.632              , 60.0 , 64.0 , 66.0 , 56.0 ,
1676068065.8973095 , 9.481 ,0.11800000000000001  ,0.053                ,0.14300000000000002  ,0.0                  ,1.0                ,0.95               ,0.9520000000000001 ,0.9470000000000001 , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068066.0984778 , 9.481 ,0.16699999999999998  ,0.05                 ,0.105                ,0.0                  ,0.9470000000000001 ,0.895              ,0.9470000000000001 ,0.95               , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068066.2996702 , 9.481 ,0.053                ,0.0                  ,0.22699999999999998  ,0.136                ,0.619              ,0.636              ,0.667              ,0.708              , 62.0 , 66.0 , 69.0 , 58.0 ,
1676068066.500999  , 9.481 ,0.15                 ,0.053                ,0.105                ,0.05                 ,0.95               ,0.9520000000000001 ,1.0                ,0.95               , 63.0 , 68.0 , 71.0 , 59.0 ,
1676068066.7021928 , 9.481 ,0.105                ,0.0                  ,0.14300000000000002  ,0.05                 ,0.7140000000000001 ,0.7                ,0.762              ,0.8                , 57.0 , 63.0 , 64.0 , 56.0 ,
1676068066.9033542 ,10.546 ,0.055999999999999994 ,0.048                ,0.1                  ,0.0                  ,0.9                ,0.9                ,0.895              ,0.9                , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068067.1045198 ,10.546 ,0.222                ,0.0                  ,0.14300000000000002  ,0.0                  ,1.0                ,0.95               ,0.909              ,0.95               , 64.0 , 69.0 , 71.0 , 60.0 ,
1676068067.305738  ,10.546 ,0.15                 ,0.05                 ,0.105                ,0.0                  ,0.684              ,0.75               ,0.65               ,0.65               , 62.0 , 66.0 , 69.0 , 58.0 ,
1676068067.5069363 ,10.546 ,0.158                ,0.053                ,0.053                ,0.1                  ,1.0                ,0.9520000000000001 ,0.95               ,0.955              , 64.0 , 68.0 , 70.0 , 60.0 ,
1676068067.7081454 ,10.546 ,0.055999999999999994 ,0.1                  ,0.21100000000000002  ,0.0                  ,0.773              ,0.737              ,0.8                ,0.75               , 60.0 , 64.0 , 66.0 , 56.0 ,
1676068067.9095874 ,10.546 ,0.15                 ,0.1                  ,0.15                 ,0.05                 ,0.8420000000000001 ,0.895              ,0.8                ,0.789              , 62.0 , 68.0 , 69.0 , 58.0 ,
1676068068.1107352 ,10.26  ,0.21100000000000002  ,0.0                  ,0.182                ,0.0                  ,0.95               ,1.0                ,0.9470000000000001 ,0.95               , 64.0 , 69.0 , 70.0 , 60.0 ,
1676068068.311934  ,10.26  ,0.263                ,0.0                  ,0.15                 ,0.048                ,0.429              ,0.55               ,0.579              ,0.45               , 58.0 , 62.0 , 65.0 , 55.0 ,
1676068068.513248  ,10.26  ,0.21100000000000002  ,0.053                ,0.14300000000000002  ,0.053                ,0.9520000000000001 ,0.95               ,1.0                ,0.9520000000000001 , 62.0 , 67.0 , 70.0 , 58.0 ,
1676068068.7143893 ,10.26  ,0.0                  ,0.053                ,0.111                ,0.0                  ,1.0                ,0.95               ,1.0                ,0.95               , 64.0 , 68.0 , 72.0 , 60.0 ,
1676068068.9155972 , 9.485 ,0.17600000000000002  ,0.1                  ,0.15                 ,0.0                  ,0.7140000000000001 ,0.619              ,0.7                ,0.667              , 63.0 , 66.0 , 69.0 , 59.0 ,
1676068069.1167705 , 9.485 ,0.15                 ,0.05                 ,0.15                 ,0.0                  ,0.9                ,0.9470000000000001 ,0.895              ,0.9                , 63.0 , 67.0 , 69.0 , 59.0 ,
1676068069.3179798 , 9.485 ,0.15                 ,0.05                 ,0.14300000000000002  ,0.136                ,0.789              ,0.8                ,0.727              ,0.737              , 58.0 , 64.0 , 65.0 , 55.0 ,
1676068069.519168  , 9.485 ,0.263                ,0.053                ,0.053                ,0.1                  ,0.9                ,0.8420000000000001 ,0.85               ,0.857              , 64.0 , 67.0 , 70.0 , 59.0 ,
1676068069.720334  , 9.485 ,0.111                ,0.05                 ,0.15                 ,0.0                  ,1.0                ,0.9520000000000001 ,0.95               ,0.95               , 65.0 , 69.0 , 71.0 , 60.0 ,
1676068069.921663  ,10.359 ,0.3                  ,0.095                ,0.1                  ,0.05                 ,0.7140000000000001 ,0.7140000000000001 ,0.667              ,0.65               , 63.0 , 66.0 , 69.0 , 58.0 ,
1676068070.1228116 ,10.359 ,0.158                ,0.0                  ,0.1                  ,0.0                  ,1.0                ,0.95               ,0.95               ,0.9520000000000001 , 65.0 , 68.0 , 71.0 , 60.0 ,
1676068070.3239667 ,10.359 ,0.0                  ,0.0                  ,0.1                  ,0.0                  ,0.895              ,0.85               ,0.762              ,0.762              , 62.0 , 65.0 , 66.0 , 58.0 ,
1676068070.5252934 ,10.359 ,0.28600000000000003  ,0.053                ,0.1                  ,0.14300000000000002  ,0.857              ,0.8                ,0.81               ,0.81               , 64.0 , 68.0 , 70.0 , 60.0 ,
1676068070.726484  ,10.359 ,0.389                ,0.053                ,0.055999999999999994 ,0.05                 ,0.9                ,0.95               ,0.9                ,0.9470000000000001 , 64.0 , 68.0 , 71.0 , 60.0 ,
1676068070.9276705 ,10.767 ,0.263                ,0.0                  ,0.217                ,0.1                  ,0.632              ,0.7140000000000001 ,0.684              ,0.632              , 62.0 , 66.0 , 68.0 , 58.0 ,
1676068071.1288018 ,10.767 ,0.055999999999999994 ,0.053                ,0.1                  ,0.0                  ,0.9520000000000001 ,1.0                ,0.95               ,0.95               , 64.0 , 69.0 , 71.0 , 60.0 ,
1676068071.3299417 ,10.767 ,0.19                 ,0.05                 ,0.1                  ,0.0                  ,0.895              ,0.905              ,0.895              ,0.857              , 60.0 , 67.0 , 68.0 , 57.0 ,
1676068071.531131  ,10.767 ,0.17600000000000002  ,0.15                 ,0.1                  ,0.105                ,0.667              ,0.762              ,0.75               ,0.8                , 63.0 , 68.0 , 71.0 , 59.0 ,
1676068071.732322  ,10.767 ,0.15                 ,0.0                  ,0.111                ,0.048                ,0.95               ,0.95               ,1.0                ,0.95               , 64.0 , 69.0 , 72.0 , 60.0 ,
1676068071.9338315 , 9.111 ,0.3                  ,0.095                ,0.0                  ,0.19                 ,0.632              ,0.632              ,0.727              ,0.684              , 61.0 , 65.0 , 68.0 , 58.0 ,
1676068072.1349678 , 9.111 ,0.0                  ,0.095                ,0.0                  ,0.1                  ,0.95               ,0.95               ,1.0                ,0.95               , 64.0 , 69.0 , 72.0 , 60.0 ,
1676068072.3360982 , 9.111 ,0.055999999999999994 ,0.053                ,0.0                  ,0.053                ,0.9520000000000001 ,0.9                ,0.9520000000000001 ,0.95               , 65.0 , 69.0 , 72.0 , 61.0 ,
1676068072.5374372 , 9.111 ,0.1                  ,0.105                ,0.095                ,0.23800000000000002  ,0.6                ,0.6                ,0.75               ,0.7                , 63.0 , 68.0 , 70.0 , 60.0 ,
1676068072.7385998 , 9.111 ,0.105                ,0.095                ,0.053                ,0.053                ,0.95               ,0.95               ,1.0                ,0.9520000000000001 , 65.0 , 69.0 , 72.0 , 61.0 ,
1676068072.9397848 , 9.111 ,0.15                 ,0.0                  ,0.048                ,0.1                  ,0.7                ,0.7140000000000001 ,0.773              ,0.737              , 60.0 , 64.0 , 67.0 , 58.0 ,
1676068073.1412244 , 9.328 ,0.19                 ,0.136                ,0.0                  ,0.14300000000000002  ,0.95               ,0.9                ,0.9                ,0.905              , 64.0 , 69.0 , 71.0 , 60.0 ,
1676068073.3423374 , 9.328 ,0.053                ,0.0                  ,0.0                  ,0.053                ,1.0                ,0.95               ,0.9520000000000001 ,0.9470000000000001 , 65.0 , 70.0 , 72.0 , 61.0 ,
1676068073.5435426 , 9.328 ,0.21100000000000002  ,0.1                  ,0.053                ,0.14300000000000002  ,0.7829999999999999 ,0.65               ,0.65               ,0.65               , 64.0 , 67.0 , 70.0 , 59.0 ,
1676068073.7447217 , 9.328 ,0.053                ,0.0                  ,0.105                ,0.105                ,0.9470000000000001 ,0.905              ,0.9                ,0.95               , 61.0 , 67.0 , 68.0 , 60.0 ,
1676068073.9458725 , 9.328 ,0.055999999999999994 ,0.048                ,0.048                ,0.136                ,0.85               ,0.81               ,0.737              ,0.8                , 62.0 , 66.0 , 68.0 , 58.0 ,
1676068074.1470513 ,10.752 ,0.158                ,0.053                ,0.05                 ,0.053                ,0.8420000000000001 ,0.81               ,0.8                ,0.75               , 64.0 , 69.0 , 71.0 , 60.0 ,
1676068074.3481433 ,10.752 ,0.0                  ,0.0                  ,0.0                  ,0.1                  ,0.95               ,1.0                ,0.9520000000000001 ,1.0                , 65.0 , 70.0 , 72.0 , 61.0 ,
1676068074.549527  ,10.752 ,0.273                ,0.05                 ,0.0                  ,0.1                  ,0.632              ,0.765              ,0.667              ,0.619              , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068074.750697  ,10.752 ,0.0                  ,0.0                  ,0.055999999999999994 ,0.105                ,0.905              ,1.0                ,0.9470000000000001 ,0.9470000000000001 , 65.0 , 70.0 , 72.0 , 61.0 ,
1676068074.9518564 , 9.496 ,0.21100000000000002  ,0.05                 ,0.0                  ,0.095                ,0.857              ,0.95               ,0.8640000000000001 ,0.857              , 61.0 , 67.0 , 69.0 , 58.0 ,
1676068075.1532097 , 9.496 ,0.2                  ,0.0                  ,0.0                  ,0.15                 ,0.75               ,0.81               ,0.75               ,0.737              , 64.0 , 69.0 , 71.0 , 60.0 ,
1676068075.3543892 , 9.496 ,0.3                  ,0.0                  ,0.25                 ,0.1                  ,0.8420000000000001 ,0.9                ,0.889              ,0.9520000000000001 , 63.0 , 68.0 , 70.0 , 61.0 ,
1676068075.5555787 , 9.496 ,0.2                  ,0.05                 ,0.0                  ,0.105                ,0.65               ,0.667              ,0.7140000000000001 ,0.7                , 61.0 , 65.0 , 68.0 , 59.0 ,
1676068075.7567482 , 9.496 ,0.15                 ,0.05                 ,0.0                  ,0.1                  ,0.95               ,0.9470000000000001 ,1.0                ,0.9470000000000001 , 64.0 , 69.0 , 72.0 , 60.0 ,
1676068075.9578757 , 9.222 ,0.21100000000000002  ,0.053                ,0.095                ,0.095                ,0.9520000000000001 ,0.9520000000000001 ,1.0                ,0.9520000000000001 , 62.0 , 69.0 , 71.0 , 60.0 ,
1676068076.1591    , 9.222 ,0.3                  ,0.136                ,0.095                ,0.1                  ,0.619              ,0.632              ,0.684              ,0.7                , 63.0 , 68.0 , 71.0 , 60.0 ,
1676068076.3602395 , 9.222 ,0.21100000000000002  ,0.05                 ,0.0                  ,0.0                  ,0.9470000000000001 ,0.909              ,1.0                ,0.95               , 65.0 , 70.0 , 73.0 , 61.0 ,
1676068076.5621793 , 9.222 ,0.222                ,0.0                  ,0.053                ,0.0                  ,0.65               ,0.65               ,0.684              ,0.762              , 60.0 , 65.0 , 68.0 , 58.0 ,
